No	m2s_r	atio lonm	latm	area(km2)	Vol(km3/yr)	nyr	yrb	yre	elev(m)	CT	CN	River_Name	OCN	Station_Name
485	10000	-80.16	33.45	38073	1.974	52.4	1942	1995	7	US	NA	Santee	ATL	"Pineville,"
486	10000	-2.32	52.38	4325	1.945	78.8	1921	1999	17	UK	EU	Severn	ATL	Bewdley
487	10000	80.2	6.18	681	1.947	62.2	1927	1989	-9999	LK	AS	Gin Ganga	IND	Agaliya
488	10000	-45.96	-2.05	2500	1.933	27.2	1972	1999	-9999	BR	SA	Maracacume	ATL	Maracacume
489	10000	13.52	56.49	5480	1.907	66	1910	1975	-9999	SE	EU	Lagan	ATL	Angaback
490	10000	46.38	-25.03	12435	1.914	22	1951	1973	-9999	MG	AF	Mandrare (Manda	IND	Amboassary
491	10000	178.1	-18.19	963	1.896	2.8	1978	1980	-9999	FJ	PO	Navua	PAC	Nakavu
492	10000	123.24	41.46	7919	1.874	42.8	1935	1979	-9999	CN	AS	Hunhe	PAC	Shenyan
493	10000	1.1	45.2	3125	1.891	3	1978	1980	-9999	FR	EU	Vezere	ATL	Montignac
494	10000	101.45	3.4	1450	1.819	39.8	1960	2000	10	MY	AS	Selangor	IND	Rantau Panj
495	10000	-96.37	19.37	2234	1.82	31	1951	1981	80	MX	NA	Antigua	ATL	Cardel
496	10000	-41.31	-21.22	3781	1.807	30.2	1969	1999	15	BR	SA	Itabapoana	ATL	Santa Cruz
497	10000	-8.05	52.15	1440	1.814	6	1973	1979	7	IE	EU	Blackwater	ATL	Ballyduff
498	10000	-5.43	34.28	17250	1.803	29.4	1959	1989	70	MA	AF	Sebou	ATL	Azib Soltan
499	10000	-97.04	20.06	1467	1.782	4	1976	1979	153	MX	NA	Nautla (Bobos)	ATL	Martinez de
500	10000	24.05	56.42	9390	1.782	64.8	1920	1985	4	LV	EU	Lielupe	ATL	Svkh. Mezot
501	10000	95.19	21.16	2577	1.774	9.3	1950	1969	-9999	MM	AS	Paulaung	IND	Kindo weir
502	10000	127.57	35.18	4480	1.768	4	1976	1979	8	KR	AS	Somjin	PAC	Sing Jeun
503	10000	-40.34	-3.69	11160	1.684	65.8	1911	1999	75	BR	SA	Acarau	ATL	Sobral
504	10000	-53.99	-30.23	2968	1.714	28	1969	1999	78.8	BR	SA	Vacacai	ATL	Passo do Ro
505	10000	-57	-35	30000	1.71	7.8	1968	1975	-9999	AR	SA	Salado-AR	ATL	H.C.Casanas
506	10000	142.6	51.13	3420	1.727	49.7	1937	1987	52	RU	AS	Tym	PAC	Ado Tymovo
507	10000	176.99	-38.01	1557	1.692	21	1973	1993	-9999	NZ	PO	Whakatane	PAC	Whakatane
508	10000	175.93	-39	780	1.691	12	1957	1968	-9999	NZ	PO	Tongariro	PAC	Turangi
509	10000	-81.25	8.2	697	1.667	12	1973	1984	40	PA	CA	San Pablo	PAC	Interameric
510	10000	-47.58	-24.31	1713	1.676	35.3	1962	1998	15	BR	SA	So Loureno	ATL	Sitio Jabor
511	10000	126.45	40.67	2192	1.634	21	1964	1984	372	KP	AS	Zangza	PAC	Jonchon
512	10000	-106.95	24.49	8919	1.631	7	1976	1982	18	MX	NA	San Lorenzo	PAC	Santa Cruz
513	10000	21.38	39.18	1349	1.636	30	1965	1995	-9999	GR	EU	Acheloos	MED	Avlaki
514	10000	-9.15	54.1	2131	1.617	6	1973	1979	3	IE	EU	Moy	ATL	Ballina
515	10000	-123.47	41.37	1945.1	1.609	67	1911	1992	147.2	US	NA	Salmon River At	PAC	"mes Bar, Ca"
516	10000	-76.15	-13	4900	1.621	27	1934	1960	250	PE	SA	Caete	PAC	Toma Imperi
517	10000	148.36	-37.66	13421	1.566	66.3	1922	2002	14.3	VX	AU	Snowy	SOC	Jarrahmond
518	10000	21.8	40.08	5005	1.581	26	1962	1988	-9999	GR	EU	Aliakmon	MED	Il Arion
519	10000	133	33.23	942	1.542	32	1965	1996	-9999	JP	AS	Watari (Shimant	PAC	Taisho
520	10000	-38.44	-5.12	17900	1.536	34.9	1961	1996	50	BR	SA	Banabuiu	ATL	Morada Nova
521	10000	123.77	41.32	4324	1.519	33	1955	1987	-9999	CN	AS	Taizi	PAC	Benxi
522	10000	44.78	-20.4	4650	1.537	14.8	1951	1984	-9999	MG	AF	Morondava	IND	Dabara
523	10000	154.5	69.17	29000	1.51	17.3	1968	1993	-9999	RU	AS	Alazeya	ARC	Andrushkino
524	10000	-51.8	0.18	4268	1.517	9.1	1982	1991	-9999	BR	SA	Maraca Pucu	ATL	Pancada
525	10000	-50.08	-29.77	1718	1.513	18.4	1981	1999	2	BR	SA	Joao Pedro	ATL	Barra do Jo
526	10000	24.77	58.47	5165	1.506	64.3	1921	1985	5	EE	EU	Pyarnu (Prnu)	ATL	Oorekula (O
527	10000	-133.11	57.17	391	1.491	16.7	1977	1994	7.6	AK	NA	Farragut	PAC	nr Petersbu
528	10000	-68.5	-43.85	16400	1.49	57.8	1943	2000	275	AR	SA	Chubut	ATL	Los Altares
529	10000	145.75	-42.24	757	1.508	41.8	1953	1995	-9999	TX	AU	Franklin	SOC	Mt Fincham
530	10000	-77.52	38.32	4118.1	1.487	85.5	1910	1995	16.8	US	NA	Rappahannock Ri	ATL	Near Freder
531	10000	121.37	41.18	17687	1.473	19.5	1960	1979	-9999	CN	AS	Dalinghe	PAC	Dalinghe
532	10000	-148.76	69.09	5719	1.471	8.1	1970	1978	304.8	AK	NA	Sagavanirktok	ARC	"nr Sagwon,"
533	10000	135.88	34.75	1455	1.468	5	1991	1995	34.9	JP	AS	Kizu	PAC	Kamo
534	10000	110.23	-7.74	2008	1.451	13	1973	1985	41	ID	AS	Progo (Kali Pro	IND	Bantar
535	10000	-106.6	23.95	6166	1.436	6	1976	1981	100	MX	NA	Piaxtla	PAC	Ixpalino
536	10000	-97.47	20.54	1600	1.415	4	1976	1979	50	MX	NA	Cazones	ATL	Poza Rica
537	10000	80.87	6.34	1589	1.418	25	1943	1967	-9999	LK	AS	Walawe	IND	Embilipitiy
538	10000	128.3	35.31	2984	1.408	34	1960	1993	-9999	KR	AS	Nam-KR	PAC	Jungam
539	10000	21.85	63.13	4805	1.37	91	1911	2001	-9999	FI	EU	Kyrn	ATL	Skatila (La
540	10000	26.72	56.9	6510	1.41	62.3	1923	1985	88	LV	EU	Aiviekste	ATL	Lubana
541	10000	145.93	-43.15	686	1.402	38.3	1964	2002	-9999	TX	AU	Davey	SOC	d/s Crossin
542	10000	-1.94	54.95	2176	1.436	46.1	1956	2002	14	UK	EU	Tyne	ATL	Bywell
543	10000	25.4	65.2	3845	1.4	74.5	1911	2001	-9999	FI	EU	Kiiminki	ATL	Haukipudas
544	10000	-97.67	20.92	4341	1.506	2.8	1976	1979	20	MX	NA	Tuxpan	ATL	Alamo
545	10000	-41.86	-21.64	3118	1.383	68	1931	1999	50	BR	SA	Dois Rios	ATL	Dois Rios
546	10000	33.08	68.85	3780	1.376	65	1928	1992	23	RU	EU	Kola	ARC	Oktyabrsky
547	10000	6.9	43.75	1827	1.37	3	1978	1980	-9999	FR	EU	Var	MED	Mescla
548	10000	126.72	35.03	2000	1.352	4	1976	1979	2	KR	AS	Yeong San	PAC	Na Ju
549	10000	-85.95	13.5	5510	1.059	25.6	1958	1995	-9999	NI	CA	Coco	ATL	Guanas
550	10000	174.15	68.53	6810	1.331	22.5	1971	1995	-9999	RU	AS	Palyavaam	ARC	Palyavaam
551	10000	130.57	32.92	907	1.327	11.8	1959	2000	-9999	JP	AS	Kikuchi	PAC	Tamana
552	10000	-91.04	18.18	9628	1.312	4	1976	1979	42	MX	NA	Candelaria	ATL	Candelaria
553	10000	-39.12	-13.6	2830	1.311	41	1957	1999	6	BR	SA	Almas [das] (Je	ATL	Nilo Pecanh
554	10000	-108.02	25.9	8179	1.294	35.9	1942	1983	120	MX	NA	Sinaloa	PAC	Jaina
555	10000	99.61	7.55	1801	1.284	16.8	1967	1984	-9999	TH	AS	Trang	PAC	Trang
556	10000	130.75	32.66	519	1.281	5	1962	1996	-9999	JP	AS	Midori	PAC	Chukobashi
557	10000	-0.65	39.12	17876	1.283	18.1	1965	1984	45	ES	EU	Jucar	MED	Masia de Mo
558	10000	-46.87	-1.25	1315	1.274	7.2	1964	1971	-9999	BR	SA	Caete	ATL	Nova Mocaju
559	10000	147.23	-36.41	4716	1.26	64.9	1934	1999	222.1	VX	AU	Mitta Mitta	SOC	Tallandoon
560	10000	24.48	41.28	4393	1.254	31	1965	1996	-9999	GR	EU	Nestos (Mesta)	MED	Temenos
561	10000	24.87	64.76	4395	1.23	53	1936	1990	-9999	FI	EU	Siika	ATL	Lnkel
562	10000	-148.96	70.28	8107	1.268	29	1971	2001	0	AK	NA	Kuparuk	ARC	nr Deadhors
563	10000	-41.46	-19.59	3230	1.226	22.3	1976	1998	-9999	BR	SA	Jose Pedro	ATL	Assarai-mon
564	10000	-4.2	51.86	1090	1.225	41.2	1958	1999	7.8	UK	EU	Tywi	ATL	Nantgaredig
565	10000	130.8	32.22	521	1.216	7.9	1959	1996	-9999	JP	AS	Kawabe	PAC	Yanase
566	10000	-71.68	43.75	1611	1.218	92.6	1903	1996	139.3	US	NA	Pemigewasset Ri	ATL	At Plymouth
567	10000	-39.46	-14.33	6570	1.216	49.1	1947	1999	76	BR	SA	Gongogi	ATL	Pedrinhas
568	10000	-103.63	18.8	6835	1.203	7	1976	1982	25	MX	NA	Coahuayana	PAC	Callejones
569	10000	176.42	-39.53	1030	1.204	24.9	1960	1988	-9999	NZ	PO	Ngaruroro	PAC	Whanawhana
570	10000	-139.57	69.32	5710	1.197	23.5	1972	2001	-9999	CA	NA	Firth	ARC	nr mouth
571	10000	100.67	5.2	689	1.19	10.3	1961	1972	10	MY	AS	Krian	IND	Dusun Limai
572	10000	-88.41	13.28	2238	1.176	12	1969	1981	7	SV	CA	Grande de San M	PAC	Las Conchas
573	10000	103.75	1.78	1130	1.169	36.7	1963	1999	10	MY	AS	Johor	IND	Rantau Panj
574	10000	-52.9	-31.87	2371	1.158	7.3	1965	1976	37	BR	SA	Basilio [Arr]	ATL	Contrato
575	10000	120.8	24.3	599	1.158	21	1973	1993	-9999	TW	AS	Ta-An	PAC	Cho-Lan
576	10000	-51.74	0.41	1220	1.157	6.7	1989	1996	-9999	BR	SA	Vila Nova	ATL	Acampamento
577	10000	-105.13	20.92	9329	1.138	2	1976	1977	70	MX	NA	Ameca	PAC	Las Gaviota
578	10000	132.18	69.53	10800	1.136	15	1979	1993	-9999	RU	AS	Omoloy	ARC	Namy
579	10000	126.22	39.24	1878	1.119	19	1966	1984	50	KP	AS	Biryu	PAC	Songchon
580	10000	121.07	22.9	476	1.122	38	1956	1993	-9999	TW	AS	Pei-Nan Chi	PAC	Yen-Ping
581	10000	126.99	-14.66	14000	1.144	23.8	1974	1999	-9999	WX	AU	Drysdale	IND	Solea Falls
582	10000	-2.6	57.05	1370	1.119	13	1971	1999	70.5	UK	EU	Dee (Royal Dee)	ATL	Woodend
583	10000	-20.52	64.25	225	1.192	37.8	1961	1999	-9999	IS	EU	Bruara	ATL	Efstidalur
584	10000	-111.91	67.63	5810	1.089	29.2	1968	2001	-9999	CA	NA	Tree	ARC	nr mouth
585	10000	-105.35	22.5	5092	1.095	49	1951	2000	31	MX	NA	Acaponeta	PAC	Acaponeta
586	10000	-2.72	54.08	983	1.099	37	1959	1999	10.7	UK	EU	Lune	ATL	Caton
587	10000	-37.8	-11.73	35150	1.095	25.8	1964	1999	17	BR	SA	Itapicuru	ATL	Usina Altam
588	10000	19.97	41.06	1960	1.099	41	1950	1990	61	AL	EU	Shkumbini [Medh	MED	Papr
589	10000	-71.5	-36.42	326	1.083	41	1948	1989	-9999	CL	SA	Perquilauquen	PAC	San Manuel
590	10000	3.2	43.4	1330	1.092	3	1978	1980	-9999	FR	EU	Orb	MED	Beziers-Tab
591	10000	14.22	42.46	3125	1.088	6.2	1992	1998	4.5	IT	EU	Pescara	MED	Santa Teres
592	10000	-49.6	-28.96	898	1.087	55.8	1943	1999	10	BR	SA	Itoupava	ATL	Taquarucu
593	10000	101.68	2.85	1240	1.084	36.7	1960	2000	7	MY	AS	Langat	IND	Dingkil
594	10000	43.52	64.97	3040	1.064	64.4	1926	1991	11	RU	EU	Kuloy	ARC	Kuloy
595	10000	-41.54	-19.07	3250	1.067	20.9	1975	1998	-9999	BR	SA	Cuite	ATL	Barra do Cu
596	10000	12.32	57.24	2160	1.088	95	1909	2003	-9999	SE	EU	Viskan	ATL	Asbro
597	10000	175.24	-38.86	1075	1.048	32	1963	1994	-9999	NZ	PO	Ongarue	PAC	Taringamutu
598	10000	-92.8	30.63	1950.3	1.043	58.4	1922	1994	12	US	NA	Calcasieu River	ATL	"Oberlin, La"
599	10000	-123.72	45.47	417	1.042	65.1	1914	1995	21.9	US	NA	Wilson River Ne	PAC	"Tillamook,"
600	10000	145.66	-42.16	449	1.039	64	1925	1988	-9999	TX	AU	King	SOC	Crotty
601	10000	-70.57	-34.82	956	1.044	12.7	1944	1957	-9999	CL	SA	Tinguiririca	PAC	bajo junta
602	10000	-47.88	-24.59	1325	1.042	37	1963	1999	20	BR	SA	Jacupiranga	ATL	Ingatuba 4F
603	10000	121.5	24.18	435	1.035	33.9	1960	1993	-9999	TW	AS	Li-Wu	PAC	Lu-Shui
604	10000	72.63	23.07	12950	1.028	11	1968	1979	50	IN	AS	Sabarmati	IND	Ahmedabad
605	10000	-53.55	-3.68	2628	1.031	15.9	1979	1998	-9999	BR	SA	Para do Uruara	ATL	Uruara
606	10000	6.33	52.25	3600	1.02	5	1978	1982	-9999	NL	EU	Vecht	ATL	Vechterweer
607	10000	77.93	8.62	4505	1.012	7	1971	1979	13	IN	AS	Tambraparni	IND	Srivaikunta
608	10000	-74.68	20.38	753	1.005	11	1969	1979	562	CU	CB	Toa	ATL	Aguacate
609	10000	-38.07	-12.51	4860	0.999	36.6	1961	1998	22	BR	SA	Pojuca	ATL	Tiririca
610	10000	151.55	-32.73	17476	0.752	31.2	1968	2000	0.2	NX	AU	Hunter	PAC	Belmore Bri
611	10000	19.87	40.76	2070	1.005	40	1950	1989	25	AL	EU	Osumi	MED	Ura Vajgure
612	10000	-35.58	-8.68	5100	0.996	25.8	1973	1998	109	BR	SA	Una	ATL	Palmares
613	10000	101.16	4.11	461	0.999	57.7	1930	2000	18	MY	AS	Batang Padang	IND	Kampar Telo
614	10000	18.59	63.56	3030	0.994	52.7	1923	1975	-9999	SE	EU	Gidealven	ATL	Bjrna
615	10000	-6.57	53.7	2695	0.992	6.9	1973	1979	14	IE	EU	Boyne	ATL	Slane
616	10000	48.25	66.5	2780	0.979	27	1965	1993	-9999	RU	EU	Pesha	ARC	Volokovaya
617	10000	176.76	-37.94	906	0.964	56.6	1948	2004	-9999	NZ	PO	Tarawera	PAC	Awakaponga
618	10000	1.83	50.1	5560	0.983	15	1965	1980	-9999	FR	EU	Somme	ATL	Abbeville
619	10000	-5.9	32.68	3330	0.981	35.2	1953	1989	591	MA	AF	Oum er Rbia	ATL	Dechra el O
620	10000	-68.27	57.67	2140	0.972	19.7	1972	1993	-9999	CA	NA	"""False"""	ATL	
621	10000	-2.97	52.97	1019	0.975	61.9	1937	1999	25.4	UK	EU	Dee (Afon Dyfrd	ATL	Manley Hall
622	10000	167.93	-44.68	155	0.971	7.3	1965	1975	-9999	NZ	PO	Cleddau	PAC	Milford
623	10000	-41.94	-21.77	1816	0.967	32.1	1967	1999	80	BR	SA	Grande	ATL	Pimentel
624	10000	146.26	-42.26	575	0.962	27	1922	1948	-9999	TX	AU	Derwent-AU	SOC	Butlers Gor
625	10000	36.32	35.8	5130	0.959	4	1976	1979	128	SY	AM	"Assi (Asi, Oron"	MED	Jisr ash Sh
626	10000	-81.87	27.22	3540.5	0.954	62.5	1931	1994	1.8	US	NA	Peace River At	ATL	"adia, Fla."
627	10000	-130.07	56.03	243	0.95	10.2	1963	1973	89.9	AK	NA	Salmon	PAC	"nr Hyder, A"
628	10000	-109.05	25.95	34247	0.971	6	1976	1981	20	MX	NA	Fuerte	PAC	San Miquel
629	10000	24.48	57.85	3265	0.943	59	1926	1985	17	LV	EU	Salatsa (Salaca	ATL	Lagaste
630	10000	-35.86	-9.47	3860	0.938	24.8	1974	1998	42	BR	SA	Mundau	ATL	Fazenda Boa
631	10000	20.28	40.78	1880	0.934	10.5	1976	2000	295	AL	EU	Devolli	MED	Kokel
632	10000	100.45	6.22	1274	0.918	13.8	1946	1960	6	MY	AS	Padang Terap	IND	Lengkuas
633	10000	-80.53	7.87	1000	0.911	11.8	1973	1984	25	PA	CA	La Villa	PAC	Atalayita
634	10000	147.38	-37.77	3903	0.892	64.5	1937	2002	37.9	VX	AU	Mitchell	SOC	Glenaladale
635	10000	-77.2	-11.13	5000	0.866	56.3	1911	1968	672	PE	SA	Huaura	PAC	Sayan
636	10000	-35.31	-8.64	1360	0.901	9.6	1989	1998	100	BR	SA	Sirinhaem	ATL	Engenho Mat
637	10000	-79.27	-6.61	3000	0.906	47	1914	1960	306	PE	SA	Chancay-Lambaye	PAC	Carhuaquero
638	10000	-4.56	52.04	894	0.895	40.3	1959	1999	5.2	UK	EU	Teifi	ATL	Glan Teifi
639	10000	-8.3	40.75	928	0.903	18.7	1962	1980	50	PT	EU	Vouga	ATL	Pedre Ribei
640	10000	-2.95	51.75	912	0.885	42.7	1957	1999	22.6	UK	EU	Usk	ATL	Chain Bridg
641	10000	77.8	10.1	2253	0.885	6.8	1972	1979	279	IN	AS	Vaigai	IND	Peranai
642	10000	116.08	5.78	1000	0.87	12.7	1969	1985	-9999	MY	AS	Papar	PAC	"Kaiduan, Sa"
643	10000	-38.87	-6.41	12000	0.875	36.3	1957	1996	160	BR	SA	Salgado	ATL	Ico
644	10000	-35.05	-7.13	19244	0.859	25.8	1970	1997	18	BR	SA	Paraiba	ATL	Ponte da Ba
645	10000	-90.09	13.84	1991	0.847	15.8	1965	1981	30	SV	CA	Paz	PAC	La Hachadur
646	10000	-40.82	-3.12	3720	1.214	37.3	1911	1993	9	BR	SA	Coreau	ATL	Granja Ii
647	10000	136.87	35.2	705	0.843	29	1969	1997	-9999	JP	AS	Shonai	PAC	Nishi-biwaj
648	10000	172.59	-41.79	368	0.84	53.4	1934	1990	-9999	NZ	PO	Gowan	PAC	Lake Rotoro
649	10000	127.42	36.38	612	0.839	33	1962	1994	-9999	KR	AS	Gap	PAC	Hoeduk
650	10000	-79.28	-7.28	2500	0.841	62	1927	1988	200	PE	SA	Jequetepeque	PAC	Ventanillas
651	10000	-103.95	18.95	9744	0.831	6	1976	1981	38	MX	NA	Armera	PAC	Coliman
652	10000	-71.08	43.98	997.1	0.832	73	1903	1995	127.5	US	NA	Saco River Nea	ATL	"nway, NH"
653	10000	-40.49	-20.42	1690	0.827	27.6	1968	1999	40	BR	SA	Jucu	ATL	Fazenda Juc
654	10000	-39.27	-14.8	3964	0.823	8.3	1935	1943	55	BR	SA	Cachoeira	ATL	Itabuna
655	10000	-48.92	-27.1	1240	0.809	60.4	1934	1999	35	BR	SA	Itajai-Mirim	ATL	Brusque (Pc
656	10000	147.6	-20.58	7200	0.816	37.7	1960	1998	83	QX	AU	Bowen	PAC	Myuna
657	10000	145.98	-17.62	390	0.807	79.8	1916	1996	-9999	QX	AU	South Johnstone	PAC	u/s Central
658	10000	0.27	36.03	43750	0.808	2.7	1976	1978	2	DZ	AF	Chelif	MED	Sidi Belata
659	10000	145.62	-16.8	1940	0.79	79.7	1914	1994	-9999	QX	AU	Barron	PAC	Myola
660	10000	16	67.6	390	0.784	58.1	1916	1974	-9999	NO	EU	Kobbelv	ATL	Kobbvatn
661	10000	20.02	41.62	646	0.789	39	1950	1988	152	AL	EU	Mati	MED	Shoshaj
662	10000	24.17	56.4	5320	0.788	65.2	1920	1985	10	LV	EU	Musa-LV	ATL	Bauska
663	10000	24	58.73	2650	0.78	61.4	1924	1985	3	EE	EU	Kazari (Kasari)	ATL	Kazari (Kas
664	10000	-71.07	18.68	1709	0.759	7.8	1976	1984	300	DO	CB	Yaque del Sur	ATL	El Puente
665	10000	-76.46	18.13	215	0.759	10.8	1969	1979	31	JM	CB	Rio Grande	ATL	Fellowship
666	10000	-35.05	-8.02	7004	0.753	20.6	1956	1989	55	BR	SA	Capibaribe	ATL	Sao Lourenc
667	10000	-47.65	-24.17	634	0.751	27.2	1972	1999	-9999	BR	SA	Acungui	ATL	Capela do P
668	10000	-48.83	-26.45	337	0.743	19.8	1977	1999	8	BR	SA	Pirai	ATL	Ponte Sc-30
669	10000	169.73	-44.47	557	0.738	31	1964	1994	-9999	NZ	PO	Ahuriri	SOC	South Diade
670	10000	120.53	22.45	310	0.732	32	1962	1993	-9999	TW	AS	Lin-Pien	PAC	Hsin-Pei
671	10000	117.4	39.77	5120	0.725	37	1951	1987	-9999	CN	AS	Jiyun	PAC	Jiuwangzhua
672	10000	-51.46	3.04	900	0.73	2.5	1997	1999	-9999	BR	SA	Varador	ATL	Cooperativa
673	10000	-68.12	9.5	2730	0.719	17	1952	1968	-9999	VE	SA	Pao	ATL	Paso La Bal
674	10000	135.08	-16.45	10400	0.716	-999	-999	-999	12.5	AU	AU	Macarthur	PAC	Mim Pump
675	10000	-4.22	50.53	917	0.712	43.5	1956	1999	8.2	UK	EU	Tamar	ATL	Gunnislake
676	10000	175.09	-41.1	427	0.707	24	1971	1994	-9999	NZ	PO	Hutt	PAC	Birchville
677	10000	3.37	50.62	5091	0.703	15	1967	1981	-9999	BE	EU	Scheldte (Escau	ATL	Kain
678	10000	40.42	65.67	1840	0.696	32.3	1956	1988	-9999	RU	EU	Zolotitsa	ARC	Verkhnaya Z
679	10000	36.75	68.9	980	0.695	16	1932	1958	-9999	RU	EU	Rinda	ARC	Rinda
680	10000	-80.87	33.48	1769	0.694	54.8	1938	1995	45.4	US	NA	North Fork Edis	ATL	River At Or
681	10000	176.34	-38.03	632	0.687	84.8	1906	1990	-9999	NZ	PO	Kaituna	PAC	Lake Rotoit
682	10000	27.83	43.03	4857	0.687	51.2	1935	1986	15	BG	EU	Kamchiya	MED	Gzozdevo
683	10000	-77.58	35.42	1888.1	0.682	62.8	1928	1995	4.9	US	NA	Contentnea Cree	ATL	t Hookerton
684	10000	17.88	68.88	580	0.678	61	1914	1974	-9999	NO	EU	Salangselv	ATL	Vassas
685	10000	-41.01	-19.52	2135	0.673	51	1941	1998	70	BR	SA	Guandu	ATL	Baixo Guand
686	10000	-71.68	19.1	1029	0.666	8.9	1976	1984	253	DO	CB	Artibonito	ATL	Pedro Santa
687	10000	2.35	43.23	1730	0.668	30	1969	1998	96	FR	EU	Aude	MED	Carcassonne
688	10000	-107.38	24.93	11409	0.658	4	1976	1979	88	MX	NA	Culiacn (Humay	PAC	Palos Blanc
689	10000	-41.17	-20.7	1458	0.658	12.4	1986	1999	200	BR	SA	Castelo	ATL	Usina Sao M
690	10000	-131.64	56.21	175	0.654	37	1951	1988	6.1	AK	NA	Harding	PAC	nr Wrangell
691	10000	173.18	-41.71	550	0.653	21	1959	1979	-9999	NZ	PO	Branch	PAC	Recorder
692	10000	-95.33	16.43	9364	0.655	3	1976	1978	60	MX	NA	Tehuantepec	PAC	Las Cueuas
693	10000	131.52	34.05	536	0.644	10.8	1955	1996	5.3	JP	AS	Saba	PAC	Shinbashi
694	10000	-3.32	34.24	24422	0.647	43.5	1957	2000	325	MA	AF	Moulouya	MED	Dar el Caid
695	10000	79.2	11.95	12888	0.651	4	1976	1979	83	IN	AS	Ponnaiyar	IND	Tirukkoyilu
696	10000	-97.86	28.04	43149	0.64	60.1	1939	1999	8.1	US	NA	Nueces	ATL	"Mathis, TX"
697	10000	-43.87	-3.55	2450	0.642	26.8	1972	1999	20	BR	SA	Iguara	ATL	Iguara
698	10000	20.98	39.58	350	0.642	16	1964	1980	-9999	GR	EU	Aracthos	MED	Tsimovo
699	10000	148.13	-20.83	2280	0.642	23.7	1969	1993	150	QX	AU	Broken	PAC	Mt Sugarloa
700	10000	-70.32	-32.92	875	0.635	18	1942	1960	-9999	CL	SA	Aconcagua	PAC	Blanco
701	10000	35.43	64.25	1990	0.631	56.6	1926	1988	4	RU	EU	Suma	ARC	Sumskiy Pos
702	10000	115.62	-34.07	20400	0.65	44.6	1955	1999	42.5	WX	AU	Blackwood	IND	Darradup
703	10000	-3.98	51	826	0.627	9	1980	1999	14.1	UK	EU	Taw	ATL	Umberleigh
704	10000	121.3	23.42	249	0.626	35	1959	1993	-9999	TW	AS	Hsiu-Ku-Luan	PAC	Li-Shan
705	10000	-3.33	51.6	455	0.616	28.5	1970	1999	-9999	UK	EU	Taff	ATL	Pontypridd
706	10000	-48.71	-27.69	522	0.616	11.3	1988	1999	-9999	BR	SA	Cubatao	ATL	Eta Casan-m
707	10000	132.42	44.27	4030	0.608	41.8	1942	1985	70	RU	AS	Ilistaya	PAC	Khalkidon
708	10000	173.69	-41.62	764	0.605	23	1961	1983	-9999	NZ	PO	Waihopai	PAC	Craiglochar
709	10000	-39.08	-13.37	1280	0.604	29.4	1969	1999	50	BR	SA	Una-2	ATL	Valenca
710	10000	-72.9	-38.15	1054	0.601	41	1948	1989	-9999	CL	SA	Lumaco	PAC	Lumaco
711	10000	-68.97	9.68	4325	0.596	21.3	1943	1964	-9999	VE	SA	Cojedes	ATL	Pte San Raf
712	10000	141.28	-37.93	11914	0.581	53.6	1948	2001	7.7	VX	AU	Glenelg	SOC	Dartmoor
713	10000	150	-35.17	2770	0.592	66	1910	1975	-9999	NX	AU	Shoalhaven	PAC	Welcome Ree
714	10000	-80.48	8.42	471	0.59	19.7	1965	1984	15	PA	CA	Grande	PAC	Rio Grande
715	10000	9.52	36.58	20895	0.588	45	1950	1994	67	TN	AF	Medjerda	MED	Sloughia
716	10000	-3.79	53.11	344	0.583	33.2	1964	1999	-9999	UK	EU	Conwy	ATL	Cwm Llanerc
717	10000	1.95	41.47	4561	0.493	19	1968	1989	-9999	ES	EU	Llobregat	MED	Martorell
718	10000	-35.55	-9.13	674	0.573	19.3	1978	1998	16	BR	SA	Camarajibe	ATL	Matriz de C
719	10000	-41.51	-20.53	1045	0.573	36.8	1961	1999	374	BR	SA	Braco Norte Esq	ATL	Itaici
720	10000	3.87	36.8	2501	0.573	4	1976	1979	20	DZ	AF	Sebaou	MED	Baghlia
721	10000	14.22	65.5	756	0.565	6	1978	1983	-9999	NO	EU	Vefsna	ATL	Unkervatn
722	10000	-45.79	-2.5	839	0.562	15.8	1981	1999	-9999	BR	SA	Parua	ATL	Br-316 Rio
723	10000	121.28	24.65	335	0.554	37	1957	1993	-9999	TW	AS	Tan-Shui	PAC	Yun-Feng
724	10000	103.17	1.93	186	0.553	10.3	1969	1985	6	MY	AS	Sembrong	IND	Brizay Brid
725	10000	-1.36	53.92	759	0.55	34.2	1965	1999	13.7	UK	EU	Wharfe	ATL	Flint Mill
726	10000	-52.08	-30.98	944	0.539	5.9	1943	1948	40	BR	SA	Sapato [Arr do]	ATL	Passo do Sa
727	10000	101.71	3.15	490	0.699	18.3	1969	2000	31	MY	AS	Klang	IND	Kuala Lumpu
728	10000	7.23	58.4	266	0.531	6	1978	1983	-9999	NO	EU	Lygna	ATL	Tingvatn
729	10000	40.15	64.3	1820	0.515	17.8	1970	1988	-9999	RU	EU	Laya	ARC	Stepanovo
730	10000	38.26	68.33	1210	0.515	17.3	1947	1967	-9999	RU	EU	Varzina	ARC	Varzina
731	10000	-3.51	50.8	601	0.506	43.6	1956	1999	25.9	UK	EU	Exe	ATL	Thorverton
732	10000	-0.88	54.02	1586	0.506	26.3	1973	1999	9.5	UK	EU	Derwent-EU	ATL	Buttercramb
733	10000	-47.92	-24.33	270	0.504	14.1	1981	1997	-9999	BR	SA	Quilombo (Poco	ATL	Quilombo 4F
